SiteID,Name,PI,Data_Use_Policy,AmeriFlux_BASE_Data,AmeriFlux_FLUXNET_Data,IGBP,IGBP_Description,Koppen,Koppen_Description,MAP,MAT,Country,Latitude,Longitude,Elevation,Years_of_AmeriFlux_BASE_Data,AmeriFlux_BASE_DOI,Years_of_AmeriFlux_FLUXNET_Data,AmeriFlux_FLUXNET_DOI,SiteStart,SiteEnd,BASE_variables_available,FLUXNET_variables_available,Number_of_years,Wetness_Index
US-GLE,GLEES,Rob Hubbard (robert.hubbard@usda.gov),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",1200,0.8,USA,41.3665,-106.2399,3197,"1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1246056,"2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1871136,2002,,"CO2, D_SNOW, FC, G, H, H2O, LE, LW_BC_IN, LW_BC_OUT, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RH, SC, SW_BC_IN, SW_BC_OUT, SWC, SW_IN, SW_OUT, TA, TAU, T_CANOPY, TS, TSN, USTAR, VPD, WD, WS, ZL",,16,0.4428
US-Ha1,Harvard Forest EMS Tower (HFR1),J. William  Munger (jwmunger@seas.harvard.edu),CC-BY-4.0,Yes,Yes,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,1071,6.62,USA,42.5378,-72.1715,340,"1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1246059,"1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1871137,1991,,"CO2, FC, FH2O, H, H2O, LE, NETRAD, P, PA, PPFD_DIF, PPFD_DIR, PPFD_IN, PPFD_OUT, RH, SC, SWC, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA",,30,1.0976
US-HB1,North Inlet Crab Haul Creek,Tom O'Halloran (tohallo@clemson.edu),CC-BY-4.0,Yes,Yes,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",Cfa,"Humid Subtropical: mild with no dry season, hot summer",1429,18.3,USA,33.3455,-79.1957,0.1,"2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1660341,2019,https://doi.org/10.17190/AMF/1832160,2017,,"ALB, CH4, CO2, CO2_SIGMA, FC, FCH4, FC_SSITC_TEST, FETCH_70, FETCH_80, FETCH_90, FETCH_MAX, H, H2O, H2O_SIGMA, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, PA, P_RAIN, RH, SC, SH, SLE, SW_DIF, SW_DIR, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, ZL",,1,0.8597
US-HB2,Hobcaw Barony Mature Longleaf Pine,Tom O'Halloran (tohallo@clemson.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",1429,18.3,USA,33.3242,-79.244,4.7,2019,https://doi.org/10.17190/AMF/1660342,2019,https://doi.org/10.17190/AMF/2229377,2018,,"ALB, CO2, CO2_SIGMA, FC, FC_SSITC_TEST, FETCH_70, FETCH_80, FETCH_90, FETCH_MAX, G, H, H2O, H2O_SIGMA, H_SSITC_TEST, LE, LEAF_WET, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NDVI, NETRAD, PA, PPFD_IN, PPFD_OUT, P_RAIN, PRI, RH, SC, SH, SLE, SWC, SW_DIF, SW_DIR, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, ZL",,1,0.8478
US-HB3,Hobcaw Barony Longleaf Pine Restoration,Tom O'Halloran (tohallo@clemson.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",1429,18.3,USA,33.3482,-79.2322,7.3,"2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1660343,"2019, 2020, 2021",https://doi.org/10.17190/AMF/2229378,2019,,"ALB, CO2, CO2_SIGMA, FC, FC_SSITC_TEST, FETCH_70, FETCH_80, FETCH_90, FETCH_MAX, G, H, H2O, H2O_SIGMA, H_SSITC_TEST, LE, LEAF_WET, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NDVI, NETRAD, PA, PPFD_IN, PPFD_OUT, P_RAIN, PRI, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, SWP, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, T_SONIC_SIGMA, TW, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, WTD, ZL",,3,0.8492
US-Hn2,Hanford 100H grassland,Xingyuan Chen (Xingyuan.Chen@pnnl.gov),CC-BY-4.0,Yes,Yes,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Bsk,Steppe: warm winter,197,12.8,USA,46.6889,-119.4641,117.5,"2015, 2016, 2017, 2018",https://doi.org/10.17190/AMF/1562389,"2015, 2016, 2017, 2018",https://doi.org/10.17190/AMF/1902832,2015,,"CO2, CO2_SIGMA, FC, G, H, H2O, H2O_SIGMA, LE, MO_LENGTH, NETRAD, P, PA, PPFD_IN, RH, SC, SH, SLE, SWC, SW_IN, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA",,4,0.1035
US-Hn3,Hanford 100H sagebrush,Xingyuan Chen (Xingyuan.Chen@pnnl.gov),CC-BY-4.0,Yes,Yes,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,Bsk,Steppe: warm winter,197,12.8,USA,46.6878,-119.4614,120.9,"2017, 2018",https://doi.org/10.17190/AMF/1543379,"2017, 2018",https://doi.org/10.17190/AMF/1881580,2017,,"ALB, APAR, CO2, CO2_SIGMA, FC, G, H, H2O, H2O_SIGMA, LE, LW_IN, LW_OUT, MO_LENGTH, NETRAD, P, PA, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA",,2,0.1035
US-Ho2,Howland Forest (west tower),Andrew Ouimette (Andrew.Ouimette@usda.gov),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,1064,5.13,USA,45.2091,-68.747,61,"1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1246062,"1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1881581,1999,,"CO2, FC, FC_SSITC_TEST, FETCH_70, FETCH_90, FETCH_MAX, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, P_RAIN, RH, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, USTAR, WD, WS, ZL",,22,1.1138
US-HWB,USDA ARS Pasture Sytems and Watershed Management Research Unit- Hawbecker Site,Sarah Goslee (sarah.goslee@usda.gov),CC-BY-4.0,Yes,Yes,CVM,"Cropland/Natural Vegetation Mosaics: Lands with a mosaic of croplands, forest, shrublands, and grasslands in which no one component comprises more than 60% of the landscape",Dfb,Warm Summer Continental: significant precipitation in all seasons ,1006.35,10.1,USA,40.8608,-77.8488,378,"2015, 2016, 2017, 2018",https://doi.org/10.17190/AMF/1811363,"2015, 2016, 2017, 2018",https://doi.org/10.17190/AMF/1881582,2015,2018,"CO2, CO2_MIXING_RATIO, FC, FC_SSITC_TEST, FETCH_70, FETCH_80, FETCH_90, FETCH_MAX, FH2O, G, H, H2O, H2O_MIXING_RATIO, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NETRAD, PA, PPFD_IN, P_RAIN, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, T_CANOPY, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WD_SIGMA, WS, W_SIGMA, WS_MAX, ZL",,4,0.9111
US-ICh,Imnavait Creek Watershed Heath Tundra,Syndonia Bret-Harte (msbretharte@alaska.edu),CC-BY-4.0,Yes,Yes,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,ET,Tundra,318,-7.4,USA,68.6068,-149.2958,940,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1246133,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/2007175,2007,,"CO2, D_SNOW, FC, FCH4, G, GPP, H, H2O, LE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SG, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,15,0.5534
US-ICs,Imnavait Creek Watershed Wet Sedge Tundra,Syndonia Bret-Harte (msbretharte@alaska.edu),CC-BY-4.0,Yes,Yes,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",ET,Tundra,318,-7.4,USA,68.6058,-149.311,920,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1246130,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1871138,2007,,"CO2, D_SNOW, FC, FCH4, G, GPP, H, LE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SG, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,14,0.5501
US-ICt,Imnavait Creek Watershed Tussock Tundra,Syndonia Bret-Harte (msbretharte@alaska.edu),CC-BY-4.0,Yes,Yes,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,ET,Tundra,318,-7.4,USA,68.6063,-149.3041,930,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1246131,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1881583,2007,,"CO2, FC, FCH4, G, GPP, H, LE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SG, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,15,0.552
US-Jo1,Jornada Experimental Range Bajada Site,Craig Tweedie (ctweedie@utep.edu),CC-BY-4.0,Yes,Yes,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,Bwk,Desert: very cold winter,245.1,14.7,USA,32.582,-106.635,1188,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1767833,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1902833,2010,,"CH4, CH4_MIXING_RATIO, CO2, CO2_MIXING_RATIO, FC, FCH4, FCH4_SSITC_TEST, FC_SSITC_TEST, FETCH_70, FETCH_80, FETCH_90, FETCH_MAX, FH2O, G, H, H2O, H2O_MIXING_RATIO, H_SSITC_TEST, LE, LEAF_WET, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NETRAD, PA, PPFD_IN, PPFD_OUT, P_RAIN, RH, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WD_SIGMA, WS, W_SIGMA, WS_MAX, ZL",,11,0.1225
US-Jo2,Jornada Experimental Range Mixed Shrubland,Enrique R. Vivoni (vivoni@asu.edu),CC-BY-4.0,Yes,Yes,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,Bwk,Desert: very cold winter,282.3,17.5,USA,32.5849,-106.6032,1469,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1617696,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1881584,2010,,"CO2, CO2_SIGMA, FC, FC_SSITC_TEST, FETCH_70, FETCH_80, FETCH_90, FETCH_MAX, G, H, H2O, H2O_SIGMA, H_SSITC_TEST, LE, LE_SSITC_TEST, MO_LENGTH, NETRAD, P, PA, PPFD_IN, PPFD_OUT, P_RAIN, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, ZL",,11,0.1282
US-KFS,Kansas Field Station,Nathaniel Brunsell (brunsell@ku.edu),CC-BY-4.0,Yes,Yes,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Cfa,"Humid Subtropical: mild with no dry season, hot summer",1014,12,USA,39.0561,-95.1907,310,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",https://doi.org/10.17190/AMF/1246132,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",https://doi.org/10.17190/AMF/1881585,2007,,"CO2, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PBLH, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TAU, TS, USTAR, VPD, WD, WS, ZL",,13,0.6876
US-KLS,Kansas Land Institute,Nathaniel Brunsell (brunsell@ku.edu),CC-BY-4.0,Yes,Yes,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Cfa,"Humid Subtropical: mild with no dry season, hot summer",812,12,USA,38.7745,-97.5684,373,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",https://doi.org/10.17190/AMF/1498745,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",https://doi.org/10.17190/AMF/1854367,2012,,"CO2, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL",,8,0.4494
US-KS1,Kennedy Space Center (slash pine),Ross Hinkle (rhinkle@ucf.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Cwa,"Humid Subtropical: dry winter, hot summer",1266,21.9,USA,28.4583,-80.6709,1,"2002, 2003",https://doi.org/10.17190/AMF/1246069,"2002, 2003",https://doi.org/10.17190/AMF/2229379,2002,2006,"CO2, FC, G, H, H2O, LE, NEE, NETRAD, P, PA, PPFD_IN, RH, SC, TA, USTAR, VPD, WD, WS",,2,0.7065
US-KS2,Kennedy Space Center (scrub oak),Ross Hinkle (rhinkle@ucf.edu),CC-BY-4.0,Yes,Yes,CSH,Closed Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover >60%. The shrub foliage can be either evergreen or deciduous.,Cwa,"Humid Subtropical: dry winter, hot summer",1294,21.66,USA,28.6086,-80.6715,3,"1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006",https://doi.org/10.17190/AMF/1246070,"1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006",https://doi.org/10.17190/AMF/2229380,2000,2007,"CO2, FC, G, H, H2O, LE, NEE, NETRAD, P, PA, PPFD_IN, RH, SC, SW_IN, TA, USTAR, VPD, WD, WS",,8,0.7352
US-KS3,Kennedy Space Center (salt marsh),Ross Hinkle (rhinkle@ucf.edu),CC-BY-4.0,Yes,Yes,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",Cfa,"Humid Subtropical: mild with no dry season, hot summer",1340,22.3,USA,28.7084,-80.7427,0,"2018, 2019",https://doi.org/10.17190/AMF/1562390,2018,https://doi.org/10.17190/AMF/1881586,2017,2020,"CO2, CO2_SIGMA, FC, FC_SSITC_TEST, FETCH_70, FETCH_90, FETCH_MAX, H, H2O, H2O_SIGMA, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NETRAD, PA, PPFD_IN, P_RAIN, RH, SC, SH, SLE, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, ZL",,1,0
US-Lin,Lindcove Orange Orchard,Silvano Fares (silvano.fares@cnr.it),CC-BY-4.0,Yes,Yes,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",,,,,USA,36.3566,-119.0922,131,"2009, 2010",https://doi.org/10.17190/AMF/1246830,"2009, 2010",https://doi.org/10.17190/AMF/2229381,2009,2010,"CO2, FC, G, H, H2O, LE, NETRAD, P, PA, PPFD_IN, RH, SWC, TA, TS, USTAR, VPD, WD, WS",,2,0.1556
US-LS2,San Pedro River Lewis Springs Savanna,Russell Scott (russ.scott@ars.usda.gov),CC-BY-4.0,Yes,Yes,SAV,"Savannas: Lands with herbaceous and other understory systems, and with forest canopy cover between 10-30%. The forest cover height exceeds 2 meters.",Bwh,Desert: warm winter,288,17,USA,31.5659,-110.1344,1240,"2002, 2003, 2004, 2005, 2006, 2007",https://doi.org/10.17190/AMF/1660347,"2002, 2003, 2004, 2005, 2006, 2007",https://doi.org/10.17190/AMF/2204870,2003,2007,"CO2, FC, G, GPP, H, H2O, LE, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SWC, SW_IN, TA, TS, T_SONIC, USTAR, WD, WS",,6,0.1471
US-Me1,Metolius - Eyerly burn,Bev Law (bev.law@oregonstate.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Csb,"Mediterranean: mild with dry, warm summer",704.61,7.88,USA,44.5794,-121.5,896,"2004, 2005",https://doi.org/10.17190/AMF/1246074,"2004, 2005",https://doi.org/10.17190/AMF/1902834,2004,2005,"CO2, FC, G, H, LE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, RH, SC, SH, SWC, TA, TS, USTAR, VPD, WD, WS",,2,0.46
US-Me2,Metolius mature ponderosa pine,Chris Still (chris.still@oregonstate.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Csb,"Mediterranean: mild with dry, warm summer",523,6.28,USA,44.4526,-121.5589,1253,"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1246076,"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1854368,2002,,"ALB, CO2, D_SNOW, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_DIR, PPFD_IN, RECO, RH, SWC, SW_IN, SW_OUT, TA, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA",,19,0.7376
US-Me3,Metolius-second young aged pine,Bev Law (bev.law@oregonstate.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Csb,"Mediterranean: mild with dry, warm summer",719,7.07,USA,44.3154,-121.6078,1005,"2004, 2005, 2006, 2007, 2008, 2009",https://doi.org/10.17190/AMF/1246077,"2004, 2005, 2006, 2007, 2008, 2009",https://doi.org/10.17190/AMF/1902835,2004,2009,"APAR, CO2, FC, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, RECO, RH, SH, SLE, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL",,6,0.4038
US-Me6,Metolius Young Pine Burn,Chris Still (chris.still@oregonstate.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Csb,"Mediterranean: mild with dry, warm summer",494,7.59,USA,44.3233,-121.6078,998,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1246128,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/2204871,2010,,"ALB, CO2, D_SNOW, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, RECO, RH, SWC, SW_IN, SW_OUT, TA, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA",,12,0.4057
US-MMS,Morgan Monroe State Forest,Rich Phillips (rpp6@indiana.edu),CC-BY-4.0,Yes,Yes,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",1032,10.85,USA,39.3232,-86.4131,275,"1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1246080,"1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1854369,1999,,"CO2, FC, G, H, H2O, LE, LW_BC_IN, LW_BC_OUT, LW_IN, LW_OUT, NETRAD, P, PA, PPFD_BC_IN, PPFD_DIF, PPFD_IN, RECO, RH, SW_BC_IN, SW_BC_OUT, SWC, SW_IN, SW_OUT, TA, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA",,22,0.9318
US-Mo1,LTAR CMRB Field 1 (CMRB ASP),Adam Schreiner-McGraw (Adam.Schreiner-McGraw@usda.gov),CC-BY-4.0,Yes,Yes,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Cfa,"Humid Subtropical: mild with no dry season, hot summer",981,12,USA,39.2298,-92.1167,260,"2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1870588,"2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/2229382,2015,,"CO2, CO2_MIXING_RATIO, CO2_SIGMA, FC, G, GPP, H, H2O, H2O_MIXING_RATIO, H2O_SIGMA, LE, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SG, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA",,7,0.751
